url,year,title,reviews,tomatometer,av_rating,audience,box_office,director,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6
/m/the_comedian_2017,2017,The Comedian,101,25.0,4.6,29,1658706,Taylor Hackford,Robert De Niro,Leslie Mann,Danny DeVito,Edie Falco,Veronica Ferres,Charles Grodin
/m/the_wizard_of_lies,2017,The Wizard of Lies,39,72.0,6.5,63,NA,Barry Levinson,Robert De Niro,Michelle Pfeiffer,Alessandro Nivola,Nathan Darrow,Kristen Connolly,Lily Rabe
/m/hands_of_stone,2016,Hands of Stone,96,45.0,5.3,52,4711216,Jonathan Jakubowicz,Robert De Niro,Edgar Ramirez,Usher Raymond,Ana de Armas,Ellen Barkin,John Turturro
/m/dirty_grandpa,2016,Dirty Grandpa,125,11.0,2.8,44,34690808,Dan Mazer,Robert De Niro,Zac Efron,Julianne Hough,Aubrey Plaza,Zoey Deutch,Dermot Mulroney
/m/joy_2014,2015,Joy,236,60.0,6.3,57,42581369,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Edgar Ramirez,Diane Ladd,Virginia Madsen
/m/heist_2015,2015,Heist,27,26.0,4.5,42,28688,Scott Mann,Jeffrey Dean Morgan,Robert De Niro,Kate Bosworth,Morris Chestnut,Dave Bautista,Gina Carano
/m/the_intern,2015,The Intern,173,61.0,5.8,74,60886513,Nancy Meyers,Anne Hathaway,Robert De Niro,Rene Russo,Adam DeVine,Andrew Rannells,Christina Scherer
/m/the_man_who_saved_the_world,2015,The Man Who Saved the World,14,64.0,5.2,59,NA,Peter Anthony,Stanislav Petrov,Kevin Costner,Robert De Niro,Matt Damon,Walter Cronkite,Ashton Kutcher
/m/the_bag_man,2014,The Bag Man,43,9.0,3.4,22,48817,David Grovic,John Cusack,Rebecca Da Costa,Robert De Niro,Crispin Glover,Dominic Purcell,Martin Klebba
/m/grudge_match_2014,2013,Grudge Match,131,30.0,4.6,46,14885004,Peter Segal,Sylvester Stallone,Robert De Niro,Kim Basinger,Alan Arkin,Kevin Hart,Jon Bernthal
/m/last_vegas_2013,2013,Last Vegas,135,46.0,5.2,59,51434214,Jon Turteltaub,Michael Douglas,Robert De Niro,Morgan Freeman,Kevin Kline,Mary Steenburgen,Jerry Ferrara
/m/casting_by,2013,Casting By,16,94.0,7.4,79,13960,Tom Donahue,Marion Dougherty,Lynn Stalmaster,Ellen Lewis,Juliet Taylor,Clint Eastwood,Jeff Bridges
/m/the_family_2013,2013,The Family,131,29.0,4.6,41,34600000,Luc Besson,Robert De Niro,Michelle Pfeiffer,Tommy Lee Jones,Dianna Agron,John D'Leo,Kresh Novakovic
/m/killing_season,2013,Killing Season,19,11.0,3.2,29,27713,Mark Steven Johnson,Robert De Niro,John Travolta,Milo Ventimiglia,Elizabeth Olin,Kalin Sarmenov,Diana Lyubenova
/m/the_big_wedding_2013,2013,The Big Wedding,102,7.0,2.8,41,21500000,Justin Zackham,Robert De Niro,Katherine Heigl,Diane Keaton,Susan Sarandon,Amanda Seyfried,Ben Barnes
/m/the_comedian_2012,2013,The Comedian,15,53.0,5.4,25,NA,Tom Shkolnik,Edward Hogg,Elisa Lasowski,Nathan Stewart-Jarrett,Steven Robertson,Gerard Murphy,Robert De Niro
/m/silver_linings_playbook,2012,Silver Linings Playbook,230,92.0,8.2,86,132088910,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,Chris Tucker,Anupam Kher
/m/red_lights_2012,2012,Red Lights,87,29.0,4.8,36,49251,Rodrigo Cortés,Cillian Murphy,Robert De Niro,Sigourney Weaver,Elizabeth Olsen,Toby Jones,Joely Richardson
/m/being_flynn,2012,Being Flynn,78,51.0,5.9,41,526322,Paul Weitz,Robert De Niro,Paul Dano,Julianne Moore,Olivia Thirlby,Eddie Rouse,Steve Cirbus
/m/cormans_world_exploits_of_a_hollywood_rebel,2011,Corman's World: Exploits Of A Hollywood Rebel,50,92.0,7.4,84,7000,Alex Stapleton,Roger Corman,Peter Bogdanovich,Joe Dante,Polly Platt,Jack Nicholson,Eli Roth
/m/new_years_eve_2011,2011,New Year's Eve,136,7.0,3.1,45,54538013,Garry Marshall,Halle Berry,Jessica Biel,Abigail Breslin,Robert De Niro,Josh Duhamel,Hector Elizondo
/m/killer_elite_2011,2011,Killer Elite,123,25.0,4.7,42,25093607,Gary McKendry,Jason Statham,Clive Owen,Robert De Niro,Yvonne Strahovski,Dominic Purcell,Adewale Akinnuoye-Agbaje
/m/limitless,2011,Limitless,191,70.0,6.4,74,79230923,Neil Burger,Bradley Cooper,Robert De Niro,Abbie Cornish,Andrew Howard,Anna Friel,Johnny Whitworth
/m/little_fockers,2010,Little Fockers,147,10.0,3.4,34,148383780,Paul Weitz,Robert De Niro,Ben Stiller,Owen Wilson,Blythe Danner,Teri Polo,Jessica Alba
/m/stone,2010,Stone,97,51.0,5.7,21,1796024,"John Curran, John J. Curran",Robert De Niro,Edward Norton,Milla Jovovich,Frances Conroy,Enver Gjokaj,Pepper Binkley
/m/machete,2010,Machete,184,72.0,6.3,63,26200000,"Ethan Maniquis, Robert Rodriguez",Danny Trejo,Robert De Niro,Jessica Alba,Cheech Marin,Michelle Rodriguez,Steven Seagal
/m/1211197-everybodys_fine,2009,Everybody's Fine,138,46.0,5.3,53,8855646,Kirk Jones,Robert De Niro,Drew Barrymore,Kate Beckinsale,Sam Rockwell,Lucian Maisel,Lucien Maisel
/m/i-knew-it-was-you-rediscovering-john-cazale,2009,I Knew It Was You: Rediscovering John Cazale,5,80.0,6.8,85,NA,Richard Shepard,John Cazale,Al Pacino,Meryl Streep,Robert De Niro,Francis Ford Coppola,Sidney Lumet
/m/righteous_kill,2008,Righteous Kill,143,19.0,4.1,37,39983772,Jon Avnet,Robert De Niro,Al Pacino,Carla Gugino,50 Cent,Brian Dennehy,Donnie Wahlberg
/m/mr_warmth_the_don_rickles_project,2008,Mr. Warmth: The Don Rickles Project,5,80.0,7.0,79,NA,John Landis,Don Rickles,Robert De Niro,Sarah Silverman,Clint Eastwood,Robin Williams,Whoopi Goldberg
/m/what_just_happened,2008,What Just Happened?,139,51.0,5.8,22,1043419,Barry Levinson,Robert De Niro,Catherine Keener,John Turturro,Bruce Willis,Sean Penn,Stanley Tucci
/m/stardust,2007,Stardust,186,76.0,6.8,86,38226458,Matthew Vaughn,Charlie Cox,Claire Danes,Michelle Pfeiffer,Robert De Niro,Sienna Miller,Ricky Gervais
/m/10004659-arthur,2007,Arthur and the Invisibles,90,21.0,4.4,56,15004318,Luc Besson,Freddie Highmore,Mia Farrow,Penny Balfour,Doug Rand,David Bowie,Madonna
/m/good_shepherd,2006,The Good Shepherd,167,53.0,6.1,51,59839040,Robert De Niro,Matt Damon,Angelina Jolie,Alec Baldwin,Tammy Blanchard,Billy Crudup,Robert De Niro
/m/1152276-rent,2005,Rent  (2005),171,46.0,5.8,83,29077547,Chris Columbus,Anthony Rapp,Adam Pascal,Rosario Dawson,Jesse L. Martin,Wilson Jermaine Heredia,Idina Menzel
/m/10002635-bridge_of_san_luis_rey,2005,The Bridge of San Luis Rey,24,4.0,2.9,34,NA,Mary McGuckian,Gabriel Byrne,F. Murray Abraham,Kathy Bates,Geraldine Chaplin,Robert De Niro,Émilie Dequenne
/m/1141193-hide_and_seek,2005,Hide and Seek,156,13.0,3.9,49,51100000,John Polson,Robert De Niro,Dakota Fanning,Famke Janssen,Elisabeth Shue,Amy Irving,Dylan Baker
